Question,GamesPlayed,KFactor,RatingBefore,OppRating,ExpectedScore,ActualScore,RatingAfter,Change
106,105,84,521,451,0.5994,1,555,34
107,106,84,555,542,0.5187,1,595,40
108,107,84,595,538,0.5813,0,546,-49
109,108,84,546,539,0.5101,0,503,-43
110,109,83,503,526,0.4669,1,547,44
111,110,83,547,563,0.4770,1,590,43
112,111,83,590,557,0.5473,1,628,38
113,112,83,628,670,0.4398,1,674,46
114,113,82,674,764,0.3733,0,643,-31
115,114,82,643,605,0.5545,1,680,37
116,115,82,680,764,0.3814,0,649,-31
117,116,82,649,660,0.4842,1,691,42
118,117,81,691,619,0.6022,1,723,32
119,118,81,723,795,0.3978,0,691,-32
120,119,81,691,770,0.3882,0,660,-31
121,120,81,660,668,0.4885,0,620,-40
122,121,80,620,628,0.4885,0,581,-39
123,122,80,581,609,0.4598,0,544,-37
124,123,80,544,634,0.3733,1,594,50
125,124,79,594,634,0.4427,0,559,-35
126,125,79,559,651,0.3706,0,530,-29
127,126,79,530,574,0.4370,1,574,44
128,127,79,574,669,0.3666,1,624,50
129,128,78,624,714,0.3733,1,673,49
130,129,78,673,662,0.5158,0,633,-40
131,130,78,633,583,0.5715,0,588,-45
132,131,78,588,501,0.6227,0,539,-49
133,132,77,539,629,0.3733,0,510,-29
134,133,77,510,450,0.5855,1,542,32
135,134,77,542,621,0.3882,1,589,47
136,135,77,589,509,0.6131,0,542,-47
137,136,76,542,532,0.5144,0,503,-39
138,137,76,503,440,0.5897,1,534,31
139,138,76,534,514,0.5288,0,494,-40
140,139,76,494,514,0.4712,0,458,-36
141,140,75,458,454,0.5058,0,420,-38
142,141,75,420,441,0.4698,1,460,40
143,142,75,460,456,0.5058,1,497,37
144,143,75,497,531,0.4512,0,463,-34
145,144,74,463,523,0.4145,0,432,-31
146,145,74,432,434,0.4971,1,469,37
147,146,74,469,462,0.5101,0,431,-38
148,147,74,431,494,0.4103,0,401,-30
149,148,73,401,396,0.5072,0,364,-37
150,149,73,364,426,0.4117,0,334,-30
151,150,73,334,416,0.3841,0,306,-28
152,151,73,306,369,0.4103,1,349,43
153,152,72,349,369,0.4712,1,387,38
154,153,72,387,348,0.5559,0,347,-40
155,154,72,347,303,0.5630,1,378,31
156,155,72,378,399,0.4698,0,344,-34
157,156,71,344,371,0.4612,0,311,-33
158,157,71,311,282,0.5416,0,273,-38
159,158,71,273,330,0.4187,1,314,41
160,159,71,314,222,0.6294,1,340,26
161,160,70,340,311,0.5416,0,302,-38
162,161,70,302,373,0.3992,0,274,-28
163,162,70,274,373,0.3613,0,249,-25
164,163,69,249,200,0.5701,1,279,30
165,164,69,279,325,0.4342,0,249,-30
166,165,69,249,209,0.5573,0,211,-38
167,166,69,211,200,0.5158,1,244,33
168,167,68,244,212,0.5459,0,207,-37
169,168,68,207,245,0.4455,0,200,-7
170,169,68,200,200,0.5000,1,234,34
171,170,68,234,260,0.4627,0,203,-31
172,171,67,203,267,0.4089,0,200,-3
173,172,67,200,200,0.5000,0,200,0
174,173,67,200,298,0.3626,1,243,43
175,174,67,243,223,0.5288,1,275,32
176,175,66,275,200,0.6063,0,235,-40
177,176,66,235,200,0.5502,1,265,30
178,177,66,265,309,0.4370,0,236,-29
179,178,66,236,322,0.3787,0,211,-25
180,179,65,211,200,0.5158,0,200,-11
181,180,65,200,200,0.5000,1,233,33
182,181,65,233,200,0.5473,0,200,-33
183,182,65,200,200,0.5000,0,200,0
184,183,64,200,215,0.4784,0,200,0
185,184,64,200,200,0.5000,0,200,0
186,185,64,200,200,0.5000,1,232,32
187,186,64,232,327,0.3666,1,273,41
188,187,63,273,303,0.4569,0,244,-29
189,188,63,244,315,0.3992,1,282,38
190,189,63,282,354,0.3978,1,320,38
191,190,63,320,329,0.4871,0,289,-31
192,191,62,289,274,0.5216,1,319,30
193,192,62,319,347,0.4598,0,290,-29
194,193,62,290,201,0.6254,0,251,-39
195,194,62,251,200,0.5729,1,277,26
196,195,61,277,347,0.4006,1,314,37
197,196,61,314,370,0.4201,0,288,-26
198,197,61,288,211,0.6090,1,312,24
199,198,61,312,333,0.4698,1,344,32
200,199,60,344,276,0.5966,0,308,-36
201,200,60,308,357,0.4299,0,282,-26
202,201,60,282,379,0.3639,0,260,-22
203,202,60,260,200,0.5855,0,225,-35
204,203,60,225,243,0.4741,1,257,32
205,204,60,257,200,0.5813,0,222,-35
206,205,60,222,200,0.5316,1,250,28
207,206,59,250,214,0.5516,0,217,-33
208,207,59,217,293,0.3923,0,200,-17
209,208,59,200,241,0.4413,1,233,33
210,209,59,233,331,0.3626,1,271,38
211,210,59,271,267,0.5058,0,241,-30
212,211,59,241,200,0.5587,1,267,26
213,212,59,267,263,0.5058,1,296,29
214,213,59,296,343,0.4328,1,329,33
215,214,59,329,274,0.5785,0,295,-34
216,215,59,295,320,0.4641,0,268,-27
217,216,58,268,206,0.5883,1,292,24
218,217,58,292,200,0.6294,1,313,21
219,218,58,313,410,0.3639,1,350,37
220,219,58,350,257,0.6307,1,371,21
221,220,58,371,309,0.5883,0,337,-34
222,221,58,337,276,0.5869,0,303,-34
223,222,58,303,358,0.4215,0,279,-24
224,223,58,279,288,0.4871,0,251,-28
225,224,58,251,327,0.3923,0,228,-23
226,225,58,228,250,0.4684,0,201,-27
227,226,57,201,200,0.5014,0,200,-1
228,227,57,200,200,0.5000,1,229,29
229,228,57,229,304,0.3937,0,207,-22
230,229,57,207,207,0.5000,0,200,-7
231,230,57,200,200,0.5000,1,229,29
232,231,57,229,200,0.5416,0,200,-29
233,232,57,200,200,0.5000,0,200,0
234,233,57,200,231,0.4555,0,200,0
235,234,57,200,200,0.5000,1,229,29
236,235,57,229,315,0.3787,0,207,-22
237,236,56,207,271,0.4089,1,240,33
238,237,56,240,244,0.4942,1,268,28
239,238,56,268,258,0.5144,0,239,-29
240,239,56,239,289,0.4285,0,215,-24
241,240,56,215,248,0.4527,0,200,-15
242,241,56,200,278,0.3896,1,234,34
243,242,56,234,200,0.5488,1,259,25
244,243,56,259,230,0.5416,0,229,-30
245,244,56,229,200,0.5416,1,255,26
246,245,56,255,227,0.5402,0,225,-30
247,246,55,225,200,0.5359,0,200,-25
248,247,55,200,200,0.5000,1,228,28
249,248,55,228,200,0.5402,1,253,25
250,249,55,253,200,0.5757,0,221,-32
251,250,55,221,296,0.3937,1,254,33
252,251,55,254,299,0.4356,1,285,31
253,252,55,285,200,0.6199,1,306,21
254,253,55,306,379,0.3965,0,284,-22
255,254,55,284,250,0.5488,0,254,-30
256,255,55,254,200,0.5771,0,222,-32
257,256,54,222,242,0.4712,1,251,29
258,257,54,251,290,0.4441,0,227,-24
259,258,54,227,200,0.5388,0,200,-27
260,259,54,200,257,0.4187,0,200,0
261,260,54,200,241,0.4413,1,230,30
262,261,54,230,314,0.3814,1,263,33
263,262,54,263,200,0.5897,1,285,22
264,263,54,285,295,0.4856,1,313,28
265,264,54,313,247,0.5939,1,335,22
266,265,54,335,361,0.4627,1,364,29
267,266,53,364,454,0.3733,0,344,-20
268,267,53,344,252,0.6294,0,311,-33
269,268,53,311,397,0.3787,0,291,-20
270,269,53,291,216,0.6063,0,259,-32
271,270,53,259,200,0.5841,0,228,-31
272,271,53,228,327,0.3613,1,262,34
273,272,53,262,281,0.4727,0,237,-25
274,273,53,237,200,0.5530,1,261,24
275,274,53,261,206,0.5785,0,230,-31
276,275,53,230,208,0.5316,0,202,-28
277,276,52,202,200,0.5029,0,200,-2
278,277,52,200,200,0.5000,1,226,26
279,278,52,226,286,0.4145,1,256,30
280,279,52,256,200,0.5799,1,278,22
281,280,52,278,305,0.4612,1,306,28
282,281,52,306,395,0.3746,1,339,33
283,282,52,339,296,0.5616,0,310,-29
284,283,52,310,216,0.6321,0,277,-33
285,284,52,277,355,0.3896,1,309,32
286,285,52,309,302,0.5101,1,334,25
287,286,51,334,280,0.5771,1,356,22
288,287,51,356,380,0.4655,0,332,-24
289,288,51,332,353,0.4698,0,308,-24
290,289,51,308,318,0.4856,1,334,26
291,290,51,334,398,0.4089,1,364,30
292,291,51,364,412,0.4314,0,342,-22
293,292,51,342,305,0.5530,1,365,23
294,293,51,365,326,0.5559,1,388,23
295,294,51,388,475,0.3773,0,369,-19
296,295,51,369,337,0.5459,0,341,-28
297,296,50,341,343,0.4971,1,366,25
298,297,50,366,345,0.5302,1,389,23
299,298,50,389,324,0.5925,1,409,20
300,299,50,409,502,0.3693,1,441,32
301,300,50,441,438,0.5043,0,416,-25
302,301,50,416,365,0.5729,1,437,21
303,302,50,437,370,0.5952,0,407,-30
304,303,50,407,430,0.4669,0,384,-23
305,304,50,384,468,0.3814,0,365,-19
306,305,50,365,272,0.6307,1,383,18
307,306,49,383,352,0.5445,0,356,-27
308,307,49,356,369,0.4813,0,332,-24
309,308,49,332,268,0.5911,0,303,-29
310,309,49,303,340,0.4470,0,281,-22
311,310,49,281,227,0.5771,1,302,21
312,311,49,302,365,0.4103,0,282,-20
313,312,49,282,200,0.6159,1,301,19
314,313,49,301,297,0.5058,0,276,-25
315,314,49,276,310,0.4512,0,254,-22
316,315,49,254,240,0.5201,1,278,24
317,316,48,278,300,0.4684,0,256,-22
318,317,48,256,201,0.5785,0,228,-28
319,318,48,228,293,0.4075,0,208,-20
320,319,48,208,200,0.5115,1,231,23
321,320,48,231,312,0.3855,0,212,-19
322,321,48,212,200,0.5173,0,200,-12
323,322,48,200,200,0.5000,0,200,0
324,323,48,200,259,0.4159,1,228,28
325,324,48,228,200,0.5402,1,250,22
326,325,48,250,338,0.3760,0,232,-18
327,326,47,232,217,0.5216,0,207,-25
328,327,47,207,200,0.5101,0,200,-7
329,328,47,200,292,0.3706,0,200,0
330,329,47,200,200,0.5000,0,200,0
331,330,47,200,200,0.5000,1,224,24
332,331,47,224,278,0.4229,1,251,27
333,332,47,251,330,0.3882,0,233,-18
334,333,47,233,212,0.5302,0,208,-25
335,334,47,208,241,0.4527,0,200,-8
336,335,47,200,239,0.4441,0,200,0
337,336,46,200,200,0.5000,0,200,0
338,337,46,200,200,0.5000,1,223,23
339,338,46,223,261,0.4455,1,249,26
340,339,46,249,251,0.4971,0,226,-23
341,340,46,226,302,0.3923,0,208,-18
342,341,46,208,279,0.3992,0,200,-8
343,342,46,200,290,0.3733,0,200,0
344,343,46,200,200,0.5000,0,200,0
345,344,46,200,200,0.5000,1,223,23
346,345,46,223,318,0.3666,1,252,29
347,346,45,252,200,0.5743,0,226,-26
348,347,45,226,200,0.5373,1,247,21
349,348,45,247,200,0.5672,1,266,19
350,349,45,266,200,0.5939,0,239,-27
351,350,45,239,330,0.3720,0,222,-17
352,351,45,222,262,0.4427,0,202,-20
353,352,45,202,200,0.5029,1,224,22
354,353,45,224,259,0.4498,0,204,-20
355,354,45,204,200,0.5058,0,200,-4
356,355,45,200,200,0.5000,1,223,23
357,356,44,223,223,0.5000,1,245,22
358,357,44,245,262,0.4756,0,224,-21
359,358,44,224,322,0.3626,0,208,-16
360,359,44,208,214,0.4914,1,230,22
361,360,44,230,218,0.5173,1,251,21
362,361,44,251,203,0.5686,0,226,-25
363,362,44,226,200,0.5373,1,246,20
364,363,44,246,200,0.5658,0,221,-25
365,364,44,221,200,0.5302,1,242,21
366,365,44,242,338,0.3653,0,226,-16
367,366,43,226,200,0.5373,0,203,-23
368,367,43,203,201,0.5029,1,224,21
369,368,43,224,234,0.4856,1,246,22
370,369,43,246,236,0.5144,1,267,21
371,370,43,267,200,0.5952,0,241,-26
372,371,43,241,221,0.5288,1,261,20
373,372,43,261,200,0.5869,0,236,-25
374,373,43,236,200,0.5516,0,212,-24
375,374,43,212,206,0.5086,0,200,-12
376,375,43,200,261,0.4131,0,200,0
377,376,42,200,237,0.4470,1,223,23
378,377,42,223,200,0.5331,1,243,20
379,378,42,243,252,0.4871,1,265,22
380,379,42,265,237,0.5402,1,284,19
381,380,42,284,318,0.4512,0,265,-19
382,381,42,265,230,0.5502,0,242,-23
383,382,42,242,279,0.4470,0,223,-19
384,383,42,223,287,0.4089,1,248,25
385,384,42,248,200,0.5686,1,266,18
386,385,42,266,241,0.5359,0,243,-23
387,386,41,243,291,0.4314,1,266,23
388,387,41,266,325,0.4159,0,249,-17
389,388,41,249,241,0.5115,1,269,20
390,389,41,269,316,0.4328,1,292,23
391,390,41,292,207,0.6199,1,308,16
392,391,41,308,313,0.4928,1,329,21
393,392,41,329,259,0.5994,0,304,-25
394,393,41,304,262,0.5602,1,322,18
395,394,41,322,256,0.5939,1,339,17
396,395,41,339,285,0.5771,1,356,17
397,396,40,356,379,0.4669,0,337,-19
398,397,40,337,386,0.4299,0,320,-17
399,398,40,320,370,0.4285,0,303,-17
400,399,40,303,219,0.6186,1,318,15
401,400,40,318,312,0.5086,0,298,-20
402,401,40,298,276,0.5316,1,317,19
403,402,40,317,350,0.4527,0,299,-18
404,403,40,299,225,0.6049,1,315,16
405,404,40,315,293,0.5316,0,294,-21
406,405,40,294,357,0.4103,1,318,24
407,406,40,318,356,0.4455,0,300,-18
408,407,39,300,260,0.5573,0,278,-22
409,408,39,278,208,0.5994,1,294,16
410,409,39,294,357,0.4103,0,278,-16
411,410,39,278,310,0.4541,1,299,21
412,411,39,299,361,0.4117,1,322,23
413,412,39,322,349,0.4612,0,304,-18
414,413,39,304,300,0.5058,1,323,19
415,414,39,323,350,0.4612,0,305,-18
416,415,39,305,362,0.4187,1,328,23
417,416,39,328,347,0.4727,0,310,-18
418,417,39,310,377,0.4048,1,333,23
419,418,39,333,351,0.4741,0,315,-18
420,419,38,315,327,0.4827,0,297,-18
421,420,38,297,309,0.4827,0,279,-18
422,421,38,279,204,0.6063,1,294,15
423,422,38,294,314,0.4712,0,276,-18
424,423,38,276,299,0.4669,0,258,-18
425,424,38,258,307,0.4299,1,280,22
426,425,38,280,320,0.4427,1,301,21
427,426,38,301,246,0.5785,1,317,16
428,427,38,317,344,0.4612,0,299,-18
429,428,38,299,394,0.3666,0,285,-14
430,429,38,285,233,0.5743,1,301,16
431,430,38,301,313,0.4827,1,321,20
432,431,38,321,281,0.5573,1,338,17
433,432,37,338,281,0.5813,1,353,15
434,433,37,353,415,0.4117,0,338,-15
435,434,37,338,244,0.6321,1,352,14
436,435,37,352,257,0.6334,1,366,14
437,436,37,366,340,0.5373,0,346,-20
438,437,37,346,413,0.4048,0,331,-15
439,438,37,331,397,0.4061,0,316,-15
440,439,37,316,235,0.6145,1,330,14
441,440,37,330,367,0.4470,0,313,-17
442,441,37,313,325,0.4827,0,295,-18
443,442,37,295,200,0.6334,1,309,14
444,443,37,309,354,0.4356,0,293,-16
445,444,36,293,215,0.6104,1,307,14
446,445,36,307,407,0.3599,0,294,-13
447,446,36,294,388,0.3679,0,281,-13
448,447,36,281,264,0.5244,0,262,-19
449,448,36,262,338,0.3923,0,248,-14
450,449,36,248,206,0.5602,1,264,16
451,450,36,264,320,0.4201,0,249,-15
452,451,36,249,257,0.4885,0,231,-18
453,452,36,231,244,0.4813,0,214,-17
454,453,36,214,200,0.5201,1,231,17
455,454,36,231,204,0.5388,1,248,17
456,455,36,248,200,0.5686,0,228,-20
457,456,36,228,264,0.4484,1,248,20
458,457,35,248,252,0.4942,1,266,18
459,458,35,266,341,0.3937,1,287,21
460,459,35,287,200,0.6227,1,300,13
461,460,35,300,217,0.6172,1,313,13
462,461,35,313,343,0.4569,1,332,19
463,462,35,332,325,0.5101,1,349,17
464,463,35,349,425,0.3923,0,335,-14
465,464,35,335,408,0.3965,1,356,21
466,465,35,356,384,0.4598,0,340,-16
467,466,35,340,422,0.3841,1,362,22
468,467,35,362,388,0.4627,1,381,19
469,468,35,381,456,0.3937,1,402,21
470,469,34,402,389,0.5187,1,418,16
471,470,34,418,358,0.5855,0,398,-20
472,471,34,398,376,0.5316,0,380,-18
473,472,34,380,469,0.3746,1,401,21
474,473,34,401,368,0.5473,1,416,15
475,474,34,416,515,0.3613,0,404,-12
476,475,34,404,361,0.5616,0,385,-19
477,476,34,385,417,0.4541,0,370,-15
478,477,34,370,469,0.3613,1,392,22
479,478,34,392,402,0.4856,1,409,17
480,479,34,409,436,0.4612,0,393,-16
481,480,34,393,412,0.4727,1,411,18
482,481,34,411,363,0.5686,0,392,-19
483,482,33,392,331,0.5869,0,373,-19
484,483,33,373,350,0.5331,1,388,15
485,484,33,388,393,0.4928,0,372,-16
486,485,33,372,453,0.3855,1,392,20
487,486,33,392,452,0.4145,0,378,-14
488,487,33,378,378,0.5000,1,395,17
489,488,33,395,402,0.4899,0,379,-16
490,489,33,379,334,0.5644,0,360,-19
491,490,33,360,332,0.5402,0,342,-18
492,491,33,342,357,0.4784,1,359,17
493,492,33,359,307,0.5743,0,340,-19
494,493,33,340,250,0.6267,0,319,-21
495,494,32,319,283,0.5516,0,301,-18
496,495,32,301,276,0.5359,0,284,-17
497,496,32,284,223,0.5869,1,297,13
498,497,32,297,394,0.3639,0,285,-12
499,498,32,285,335,0.4285,0,271,-14
500,499,32,271,246,0.5359,1,286,15
501,500,32,286,242,0.5630,0,268,-18
502,501,32,268,361,0.3693,0,256,-12
503,502,32,256,309,0.4243,0,242,-14
504,503,32,242,203,0.5559,1,256,14
505,504,32,256,200,0.5799,0,237,-19
506,505,32,237,283,0.4342,0,223,-14
507,506,32,223,317,0.3679,0,211,-12
508,507,31,211,205,0.5086,1,226,15
509,508,31,226,234,0.4885,0,211,-15
510,509,31,211,263,0.4257,1,229,18
511,510,31,229,221,0.5115,1,244,15
512,511,31,244,310,0.4061,0,231,-13
513,512,31,231,215,0.5230,1,246,15
514,513,31,246,315,0.4020,1,265,19
515,514,31,265,233,0.5459,0,248,-17
516,515,31,248,333,0.3801,0,236,-12
517,516,31,236,200,0.5516,1,250,14
518,517,31,250,266,0.4770,1,266,16
519,518,31,266,309,0.4384,0,252,-14
520,519,30,252,247,0.5072,0,237,-15
521,520,30,237,251,0.4799,1,253,16
522,521,30,253,321,0.4034,0,241,-12
523,522,30,241,261,0.4712,0,227,-14
524,523,30,227,200,0.5388,0,211,-16
525,524,30,211,306,0.3666,1,230,19
526,525,30,230,282,0.4257,0,217,-13
527,526,30,217,219,0.4971,0,202,-15
528,527,30,202,299,0.3639,0,200,-2
529,528,30,200,233,0.4527,1,216,16
530,529,30,216,254,0.4455,1,233,17
531,530,30,233,200,0.5473,1,247,14
532,531,30,247,200,0.5672,1,260,13
533,532,29,260,337,0.3910,0,249,-11
534,533,29,249,322,0.3965,1,267,18
535,534,29,267,352,0.3801,0,256,-11
536,535,29,256,200,0.5799,0,239,-17
537,536,29,239,316,0.3910,0,228,-11
538,537,29,228,200,0.5402,0,212,-16
539,538,29,212,240,0.4598,0,200,-12
540,539,29,200,220,0.4712,0,200,0
541,540,29,200,273,0.3965,1,218,18
542,541,29,218,200,0.5259,1,232,14
543,542,29,232,200,0.5459,0,216,-16
544,543,29,216,235,0.4727,1,231,15
545,544,28,231,200,0.5445,0,216,-15
546,545,28,216,200,0.5230,0,201,-15
547,546,28,201,200,0.5014,1,215,14
548,547,28,215,258,0.4384,0,203,-12
549,548,28,203,226,0.4669,0,200,-3
550,549,28,200,200,0.5000,0,200,0
551,550,28,200,200,0.5000,0,200,0
552,551,28,200,267,0.4048,0,200,0
553,552,28,200,200,0.5000,0,200,0
554,553,28,200,267,0.4048,0,200,0
555,554,28,200,200,0.5000,1,214,14
556,555,28,214,296,0.3841,1,231,17
557,556,28,231,200,0.5445,1,244,13
558,557,27,244,277,0.4527,1,259,15
559,558,27,259,230,0.5416,1,271,12
560,559,27,271,265,0.5086,1,284,13
561,560,27,284,260,0.5345,1,297,13
562,561,27,297,380,0.3828,0,287,-10
563,562,27,287,275,0.5173,1,300,13
564,563,27,300,280,0.5288,0,286,-14
565,564,27,286,272,0.5201,0,272,-14
566,565,27,272,364,0.3706,1,289,17
567,566,27,289,367,0.3896,0,278,-11
568,567,27,278,213,0.5925,0,262,-16
569,568,27,262,241,0.5302,0,248,-14
570,569,26,248,260,0.4827,0,235,-13
571,570,26,235,270,0.4498,0,223,-12
572,571,26,223,200,0.5331,1,235,12
573,572,26,235,228,0.5101,1,248,13
574,573,26,248,339,0.3720,0,238,-10
575,574,26,238,200,0.5545,1,250,12
576,575,26,250,342,0.3706,0,240,-10
577,576,26,240,296,0.4201,0,229,-11
578,577,26,229,291,0.4117,0,218,-11
579,578,26,218,200,0.5259,1,230,12
580,579,26,230,324,0.3679,1,246,16
581,580,26,246,200,0.5658,0,231,-15
582,581,26,231,200,0.5445,1,243,12
583,582,25,243,227,0.5230,0,230,-13
584,583,25,230,321,0.3720,1,246,16
585,584,25,246,311,0.4075,0,236,-10
586,585,25,236,234,0.5029,0,223,-13
587,586,25,223,258,0.4498,0,212,-11
588,587,25,212,200,0.5173,1,224,12
589,588,25,224,212,0.5173,1,236,12
590,589,25,236,328,0.3706,0,227,-9
591,590,25,227,200,0.5388,0,214,-13
592,591,25,214,200,0.5201,1,226,12
593,592,25,226,200,0.5373,0,213,-13
594,593,25,213,310,0.3639,0,204,-9
595,594,24,204,200,0.5058,0,200,-4
596,595,24,200,200,0.5000,1,212,12
597,596,24,212,275,0.4103,0,202,-10
598,597,24,202,200,0.5029,1,214,12
599,598,24,214,200,0.5201,0,202,-12
600,599,24,202,237,0.4498,0,200,-2
601,600,24,200,208,0.4885,1,212,12
602,601,24,212,295,0.3828,0,203,-9
603,602,24,203,200,0.5043,0,200,-3
604,603,24,200,288,0.3760,1,215,15
605,604,24,215,200,0.5216,0,202,-13
606,605,24,202,200,0.5029,0,200,-2
607,606,24,200,200,0.5000,0,200,0
608,607,24,200,284,0.3814,0,200,0
609,608,24,200,200,0.5000,0,200,0
610,609,24,200,200,0.5000,0,200,0
611,610,24,200,200,0.5000,1,212,12
612,611,24,212,247,0.4498,0,201,-11
613,612,24,201,200,0.5014,1,213,12
614,613,23,213,243,0.4569,1,225,12
615,614,23,225,258,0.4527,0,215,-10
616,615,23,215,200,0.5216,1,226,11
617,616,23,226,200,0.5373,0,214,-12
618,617,23,214,288,0.3951,1,228,14
619,618,23,228,234,0.4914,1,240,12
620,619,23,240,286,0.4342,1,253,13
621,620,23,253,200,0.5757,1,263,10
622,621,23,263,283,0.4712,0,252,-11
623,622,23,252,230,0.5316,1,263,11
624,623,23,263,305,0.4398,1,276,13
625,624,23,276,326,0.4285,0,266,-10
626,625,23,266,220,0.5658,1,276,10
627,626,23,276,222,0.5771,0,263,-13
628,627,23,263,288,0.4641,1,275,12
629,628,23,275,211,0.5911,0,261,-14
630,629,23,261,264,0.4957,1,273,12
631,630,23,273,325,0.4257,0,263,-10
632,631,23,263,313,0.4285,0,253,-10
633,632,23,253,302,0.4299,1,266,13
634,633,23,266,200,0.5939,0,252,-14
635,634,23,252,241,0.5158,0,240,-12
636,635,23,240,218,0.5316,0,228,-12
637,636,23,228,200,0.5402,0,216,-12
638,637,23,216,313,0.3639,1,231,15
639,638,22,231,299,0.4034,0,222,-9
640,639,22,222,262,0.4427,0,212,-10
641,640,22,212,200,0.5173,0,201,-11
642,641,22,201,253,0.4257,0,200,-1
643,642,22,200,264,0.4089,0,200,0
644,643,22,200,200,0.5000,0,200,0
645,644,22,200,200,0.5000,0,200,0
646,645,22,200,200,0.5000,0,200,0
